 n_jobs  |  ThreadPoolExecutor  | ProcessPoolExecutor 
   1     |        1.0521        |        1.0580       
   2     |        1.0228        |        0.5670       
   3     |        1.0326        |        0.4163       
   4     |        0.9970        |        0.3240       
   5     |        1.0024        |        0.2720       
   6     |        0.9960        |        0.2726       
   7     |        1.0020        |        0.2471       
   8     |        1.0020        |        0.2630       
   9     |        1.0070        |        0.2520       
   10    |        1.0057        |        0.2470       
   11    |        1.0070        |        0.2327       
   12    |        1.0080        |        0.2304       
   13    |        1.0109        |        0.2310       
   14    |        1.0110        |        0.2230       
   15    |        1.0025        |        0.2150       
   16    |        1.0110        |        0.2140       
   17    |        1.0069        |        0.2170       
   18    |        1.0074        |        0.2250       
   19    |        1.0190        |        0.2150       
   20    |        1.0195        |        0.2230       
   21    |        1.0190        |        0.2580       
   22    |        1.0165        |        0.2580       
   23    |        1.0181        |        0.2540       
   24    |        1.0210        |        0.2570       
   25    |        1.0109        |        0.2580       
   26    |        1.0149        |        0.2590       
   27    |        1.0221        |        0.2670       
   28    |        1.0183        |        0.2730       
   29    |        1.0185        |        0.3070       
   30    |        1.0355        |        0.2955       
   31    |        1.0280        |        0.3156       
   32    |        1.0310        |        0.3160       
   33    |        1.0285        |        0.3130       
   34    |        1.0281        |        0.3109       
   35    |        1.0279        |        0.3260       
   36    |        1.0302        |        0.3090       
   37    |        1.0421        |        0.3170       
   38    |        1.0376        |        0.3240       
   39    |        1.0335        |        0.3290       
   40    |        1.0311        |        0.3380       
